id,display_name,description,works_count,cited_by_count,domain_id,domain_name,field_id,field_name,subfield_id,subfield_name,keywords,wikipedia
T14423,Military Technology and Strategies,"This cluster of papers covers various aspects related to the modernization and development of air force capabilities, including the use of unmanned aerial vehicles, radar systems, military communication, electronic components, and strategic planning. It also explores the intersection of strategic planning, foresight, and design in the context of air force modernization.",22340475,817915,domains/3,Physical Sciences,fields/22,Engineering,subfields/2202,Aerospace Engineering,Air Force; Modernization; Warfare; Unmanned Aerial Vehicles; Radar Systems; Military Communication; Electronic Components; Strategic Planning; Foresight; Design,
T10346,Magnetic confinement fusion research,"This cluster of papers covers a wide range of topics in plasma physics and fusion research, including turbulence, transport, MHD stability, edge localized modes, zonal flows, confinement, neoclassical tearing modes, energetic particles, and diagnostics. The research spans from theoretical modeling to experimental observations in various fusion devices.",9280538,2566013,domains/3,Physical Sciences,fields/31,Physics and Astronomy,subfields/3106,Nuclear and High Energy Physics,Turbulence; Tokamak; Transport; MHD Stability; Edge Localized Modes; Zonal Flows; Confinement; Neoclassical Tearing Modes; Energetic Particles; Diagnostics,
T13370,Diverse Scientific and Economic Studies,"This cluster of papers covers topics related to dynamic economic modeling, financial analysis, monetary policy, asset pricing, panel data models, market competition, investment contracts, and macroeconomic time series. It explores various aspects of economic evaluation, stock prices, fiscal stabilizations, and the impact of different macroeconomic variables on financial markets.",5031903,638513,domains/2,Social Sciences,fields/20,"Economics, Econometrics and Finance",subfields/2002,Economics and Econometrics,Financial Analysis; Monetary Policy; Asset Pricing; Panel Data Models; Economic Evaluation; Stock Prices; Market Competition; Investment Contracts; Macroeconomic Time Series; Fiscal Stabilizations,
T12157,Geochemistry and Geologic Mapping,"This cluster of papers focuses on the application of machine learning, remote sensing, and compositional data analysis techniques for mineral prospectivity mapping. It explores the use of advanced technologies such as ASTER and hyperspectral imaging to identify geological features, geochemical anomalies, and hydrothermal alterations associated with mineralization. The cluster also delves into the challenges and opportunities in using support vector machines, fractal modeling, and statistical analysis for predicting undiscovered mineral deposits.",3955869,1672923,domains/3,Physical Sciences,fields/17,Computer Science,subfields/1702,Artificial Intelligence,Machine Learning; Mineral Prospectivity; Remote Sensing; Compositional Data Analysis; Geological Mapping; Hyperspectral Imaging; Support Vector Machines; Fractal Modeling; Geochemical Anomalies; Lithological Mapping,
T10451,Mycorrhizal Fungi and Plant Interactions,"This cluster of papers explores the diverse interactions between mycorrhizal fungi and plants, including their role in nutrient cycling, soil biota, and ecosystem functioning. It delves into topics such as fungal diversity, DNA barcoding, and the impact of mycorrhizal symbiosis on plant health and growth. The research also investigates the ecological implications of these symbiotic relationships and their influence on global biodiversity.",3216925,1983436,domains/1,Life Sciences,fields/11,Agricultural and Biological Sciences,subfields/1110,Plant Science,Mycorrhizal Fungi; Fungal Diversity; Plant Interactions; Soil Biota; Symbiotic Relationships; Ecosystem Functioning; DNA Barcoding; Community Structure; Nutrient Cycling; Environmental Sequencing,
T10978,Prenatal Screening and Diagnostics,"This cluster of papers focuses on the various techniques and methods for diagnosing and screening prenatal aneuploidy, including the use of maternal plasma DNA sequencing, noninvasive prenatal testing, preimplantation genetic diagnosis, and fetal DNA analysis. It also covers topics such as chromosomal abnormalities, trisomy detection, and genomic sequencing in the context of prenatal diagnosis.",1676761,1182238,domains/4,Health Sciences,fields/27,Medicine,subfields/2735,"Pediatrics, Perinatology and Child Health",Prenatal Diagnosis; Aneuploidy Screening; Maternal Plasma DNA Sequencing; Noninvasive Prenatal Testing; Chromosomal Abnormalities; Preimplantation Genetic Diagnosis; Fetal DNA Analysis; Cell-Free DNA; Trisomy Detection; Genomic Sequencing,
T11367,Particle accelerators and beam dynamics,"This cluster of papers focuses on advancements in accelerator technology, particularly in the development of superconducting cavities, negative ion sources, and neutral beam injection for applications in high energy density physics and magnetic fusion. It also encompasses research on RF source development, particle-in-cell simulations, plasma diagnostics, and ion beam dynamics.",1474293,406003,domains/3,Physical Sciences,fields/22,Engineering,subfields/2202,Aerospace Engineering,Superconducting Cavities; Negative Ion Sources; Neutral Beam Injection; RF Source Development; Particle-in-Cell Simulations; High Energy Density Physics; Plasma Diagnostics; Magnetic Fusion; Ion Beam Dynamics; Accelerator Design,
T10895,Species Distribution and Climate Change,"This cluster of papers focuses on species distribution modeling in the context of climate change impacts, utilizing methods such as MaxEnt and ecological niche modeling. It explores the effects of climate change on biodiversity, habitat suitability, range shifts, and conservation efforts. Additionally, it highlights the role of citizen science in ecological research.",1385387,2471023,domains/3,Physical Sciences,fields/23,Environmental Science,subfields/2302,Ecological Modeling,Species Distribution Modeling; Climate Change; Ecological Niche; MaxEnt; Biodiversity; Citizen Science; Habitat Suitability; Model Evaluation; Range Shifts; Conservation Biology,
T12859,Cell Image Analysis Techniques,"This cluster of papers covers advanced techniques and tools in bioimage analysis, microscopy, and high-content screening. It includes topics such as machine learning for cellular image analysis, automated neuronal morphology reconstruction, deep learning applications, and phenotypic profiling of cellular responses. The papers also discuss the use of advanced image processing methods and the integration of high-throughput microscopy in drug discovery.",1177541,913628,domains/1,Life Sciences,fields/13,"Biochemistry, Genetics and Molecular Biology",subfields/1304,Biophysics,Bioimage Analysis; High-Content Screening; Microscopy; Machine Learning; Cellular Imaging; Neuronal Morphology; Automated Analysis; Deep Learning; Image Processing; Phenotypic Profiling,
T12692,Magnetic Field Sensors Techniques,"This cluster of papers covers advances in magnetic sensor technology, including fluxgate sensors, Hall-effect sensors, Rogowski coils, and micro-fluxgate sensors. It explores applications such as current sensing, space-based magnetometers, and high-frequency performance. The use of Giant Magnetoresistance effect and integrated sensor technologies is also a focus.",1017886,154730,domains/3,Physical Sciences,fields/22,Engineering,subfields/2208,Electrical and Electronic Engineering,Magnetic Sensors; Fluxgate Sensors; Hall-effect Sensors; Rogowski Coils; Current Sensing; Micro-fluxgate Sensors; Giant Magnetoresistance Effect; Space-based Magnetometers; Integrated Sensor Technologies; High-frequency Performance,
